,Movie Name,Year of Release,Watch Time,Movie Rating,Metascore of movie,Gross,Votes,Description
0,The Shawshank Redemption,1994,142,9.3,82,28.34,"27,77,378","Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion."
1,The Godfather,1972,175,9.2,100,134.97,"19,33,588","Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger."
2,The Dark Knight,2008,152,9,84,534.86,"27,54,087","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
3,Schindler's List,1993,195,9,95,96.9,"13,97,886","In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
4,12 Angry Men,1957,96,9,97,4.36,"8,24,211",The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.
5,The Lord of the Rings: The Return of the King,2003,201,9,94,377.85,"19,04,166",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
6,The Godfather Part II,1974,202,9,90,57.3,"13,14,609","The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
7,Spider-Man: Across the Spider-Verse,2023,140,8.9,86,15,"1,98,031","Miles Morales catapults across the Multiverse, where he encounters a team of Spider-People charged with protecting its very existence. When the heroes clash on how to handle a new threat, Miles must redefine what it means to be a hero."
8,Pulp Fiction,1994,154,8.9,95,107.93,"21,31,189","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
9,Inception,2010,148,8.8,74,292.58,"24,44,816","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
10,Fight Club,1999,139,8.8,67,37.03,"22,12,960",An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
11,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,315.54,"19,32,439",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
12,Forrest Gump,1994,142,8.8,82,330.25,"21,60,038","The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart."
13,"Il buono, il brutto, il cattivo",1966,161,8.8,90,6.1,"7,84,276",A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
14,The Lord of the Rings: The Two Towers,2002,179,8.8,87,342.55,"17,18,332","While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
15,Jai Bhim,2021,164,8.8,,219,"2,08,742","When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice."
16,777 Charlie,2022,136,8.8,,,"35,870",Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towards it.
17,Oppenheimer,2023,180,8.7,88,29,"2,66,774","The story of American scientist, J. Robert Oppenheimer, and his role in the development of the atomic bomb."
18,Interstellar,2014,169,8.7,74,188.02,"19,56,197","When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans."
19,GoodFellas,1990,145,8.7,92,46.84,"12,05,052","The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito."
20,One Flew Over the Cuckoo's Nest,1975,133,8.7,84,112,"10,37,205","In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse."
21,The Matrix,1999,136,8.7,73,171.48,"19,76,616","When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
22,Star Wars: Episode V - The Empire Strikes Back,1980,124,8.7,82,290.48,"13,33,333","After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett."
23,Rocketry: The Nambi Effect,2022,157,8.7,,,"54,505","Based on the life of Indian Space Research Organization scientist Nambi Narayanan, who was framed for being a spy and arrested in 1994. Though free, he continues to fight for justice against the officials who falsely implicated him."
24,Soorarai Pottru,2020,153,8.7,,,"1,20,200","Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way."
25,Se7en,1995,127,8.6,65,100.13,"17,18,303","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
26,Saving Private Ryan,1998,169,8.6,91,216.54,"14,38,634","Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
27,The Silence of the Lambs,1991,118,8.6,86,130.74,"14,81,889","A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
28,Terminator 2: Judgment Day,1991,137,8.6,75,204.84,"11,34,147","A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten year old son John from an even more advanced and powerful cyborg."
29,The Green Mile,1999,189,8.6,61,136.8,"13,49,946","A tale set on death row in a Southern jail, where gentle giant John possesses the mysterious power to heal people's ailments. When the lead guard, Paul, recognizes John's gift, he tries to help stave off the condemned man's execution."
30,Star Wars,1977,121,8.6,90,322.74,"14,05,392","Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
31,Cidade de Deus,2002,130,8.6,79,7.56,"7,77,054","In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
32,Sen to Chihiro no kamikakushi,2001,125,8.6,96,10.06,"8,01,486","During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts."
33,La vita è bella,1997,116,8.6,59,57.6,"7,17,512","When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp."
34,Shichinin no samurai,1954,207,8.6,98,0.27,"3,55,780","Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him."
